merkmal,yeo_johnson_empfohlen,skalierung,begruendung,bekannte_limitation
material_mfr,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
dn_ziel,True,StandardScaler,"S-Kurve im Q-Q-Plot sichtbar geglaettet, Skewness deutlich reduziert",kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
wandstaerke_soll,True,StandardScaler,"S-Kurve im Q-Q-Plot sichtbar geglaettet, Skewness deutlich reduziert",kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
dickentoleranz,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
produktionsgeschwindigkeit_soll,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
ovalitaet_anforderung,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
schneckendrehzahl,True,StandardScaler,"S-Kurve im Q-Q-Plot sichtbar geglaettet, Skewness deutlich reduziert",kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
massetemperatur,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
duesenspalt,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
vakuumniveau,True,StandardScaler,"S-Kurve im Q-Q-Plot sichtbar geglaettet, Skewness deutlich reduziert",kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
innenluftdruck,True,StandardScaler,"S-Kurve im Q-Q-Plot sichtbar geglaettet, Skewness deutlich reduziert",kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
kuehlwassertemperatur,False,StandardScaler,kein Unterschied zu Original (bereits symmetrisch/gleichverteilt) oder Verbesserung durch Clipping-Raender ueberdeckt,kuenstliche np.clip()-Randplateaus aus Notebook 08 - durch keine Transformation behebbar
