ID,Kategorie,Modell,Rolle,Parametername,Einheit,Erfassungsart,Methode,Formel_falls_berechnet,Plausibler_Wertebereich,Quelle,Datenverfuegbarkeit_UNICOR,Aufnahme_PoC,Begruendung_Entscheidung
XA001,Maschinenparameter,A,X,Schneckendrehzahl,rpm,direkt gemessen,SPS-Sensor,,10-80,eigene Herleitung,vermutlich vorhanden (Ruestprotokoll),Ja,Kernstellgroesse Durchsatz/Materialschonung
XA002,Maschinenparameter,A,X,Massedurchsatz,kg/h,direkt gemessen,SPS-Sensor,,5-150,eigene Herleitung,vermutlich vorhanden,Ja,zentrale Prozessgroesse fuer Massenerhaltung
XA003,Maschinenparameter,A,X,Massetemperatur,C,direkt gemessen,SPS-Sensor,,180-230,eigene Herleitung + Websuche (Jieya HDPE-Leitfaden),vermutlich vorhanden,Ja,beeinflusst Viskositaet und Wandstaerken-Gleichmaessigkeit
XA004,Maschinenparameter,A,X,Massedruck vor Duese,bar,direkt gemessen,SPS-Sensor,,50-300,eigene Herleitung,vermutlich vorhanden,Ja,Foerderstabilitaet Indikator
XA005,Werkzeugparameter,A,X,Duesenspalt,mm,direkt gemessen,manuelle Messung/Feilung,,0.5-6,eigene Herleitung + Patent DE3816273C3,vermutlich vorhanden (grober Wert),Ja,"zentrale Stellgroesse laut Experte (""nachfeilen"")"
XA006,Linienparameter,A,X,Abzugsgeschwindigkeit (Formbackenkette),m/min,direkt gemessen,SPS-Sensor,,0.5-15,eigene Herleitung + Maincor Prozessbeschreibung,vermutlich vorhanden,Ja,bestimmt Abzugsverhaeltnis AZV
XA007,Linienparameter,A,X,Kalibrierdruck (Formluft/Vakuum),"mbar (positiv=Formluft-Ueberdruck, negativ=Vakuum)",direkt gemessen,SPS-Sensor,,"20 bis 400 (Formluft, DN<=200) / -900 bis -100 (Vakuum, DN>200)","Wikipedia Corrugator (Kunststoffverarbeitung) + DeWiki Corrugator - Mechanismus quellenbasiert, Betraege weiterhin Annahme",vermutlich vorhanden,Ja,"KORRIGIERT (Root-Cause-Fix): urspruengliche Vakuum-Annahme galt fuer gesamten DN-Bereich, Quelle zeigt Vakuum nur fuer DN>200mm, sonst Formluft/Ueberdruck. Mechanismus jetzt strukturell aus DN abgeleitet."
XA007b,Linienparameter,A,X,Kalibriermechanismus,kategorisch,berechnet,"abgeleitet aus Nennweite (DN>200 -> Vakuum, sonst Formluft)","Vakuum wenn DN>200, sonst Formluft",Formluft / Vakuum,"Wikipedia Corrugator (Kunststoffverarbeitung) + DeWiki Corrugator - Mechanismus quellenbasiert, Betraege weiterhin Annahme",vermutlich vorhanden,Ja,"Neu ergaenzt im Rahmen des Root-Cause-Fix, macht Mechanismus-Umschaltung als eigenes Merkmal explizit statt nur implizit im Vorzeichen des Drucks"
XA008,Linienparameter,A,X,Kuehlwassertemperatur,C,direkt gemessen,SPS-Sensor,,8-25,eigene Herleitung,vermutlich vorhanden,Ja,beeinflusst Abkuehlrate/Eigenspannung
XA009,Materialparameter,A,X,MFR Charge,g/10min,direkt gemessen,Laborwert (Herstellerdatenblatt/Eingangspruefung),,0.3-1.2,eigene Herleitung,unbekannt - zu klaeren,Ja,"Chargenschwankung bei ""einem Material"" (HDPE) relevant"
XA010,Abgeleitete Groesse,A,X,Abzugsverhaeltnis AZV,dimensionslos,berechnet,Formel-abgeleitet,AZV = v_f / v_D,1.0-3.0,ChatGPT-Dokument 2 + Dissertation Andretzky (Uni Duisburg-Essen),abgeleitet aus XA002+XA006,Ja,physikalisch interpretierbare Kenngroesse statt Rohgroessen einzeln
